"Date","Price","Open","High","Low","Vol.","Change %"
"16/01/2023","89,420.12","89,420.12","89,420.12","89,420.12","","0.82%"
"13/01/2023","88,693.00","88,693.00","88,693.00","88,693.00","","0.66%"
"12/01/2023","88,115.65","88,115.65","88,115.65","88,115.65","","1.18%"
"11/01/2023","87,086.16","87,086.16","87,086.16","87,086.16","","0.90%"
"10/01/2023","86,307.42","86,307.42","86,307.42","86,307.42","","-0.28%"
"09/01/2023","86,551.27","86,551.27","86,551.27","86,551.27","","0.59%"
"06/01/2023","86,046.19","86,046.19","86,046.19","86,046.19","","0.65%"
"05/01/2023","85,489.88","85,489.88","85,489.88","85,489.88","","0.06%"
"04/01/2023","85,436.51","85,436.51","85,436.51","85,436.51","","1.63%"
"03/01/2023","84,068.54","84,068.54","84,068.54","84,068.54","","-1.31%"
"30/12/2022","85,188.04","85,188.04","85,188.04","85,188.04","","0.27%"
"29/12/2022","84,962.61","84,962.61","84,962.61","84,962.61","","-0.79%"
"28/12/2022","85,640.34","85,640.34","85,640.34","85,640.34","","-0.30%"
"23/12/2022","85,897.54","85,897.54","85,897.54","85,897.54","","-0.63%"
"22/12/2022","86,439.15","86,439.15","86,439.15","86,439.15","","0.53%"
"21/12/2022","85,986.99","85,986.99","85,986.99","85,986.99","","1.29%"
"20/12/2022","84,889.39","84,889.39","84,889.39","84,889.39","","-1.53%"
"19/12/2022","86,209.31","86,209.31","86,209.31","86,209.31","","-0.21%"
"16/12/2022","86,388.25","86,388.25","86,388.25","86,388.25","","-0.78%"
"15/12/2022","87,066.27","87,066.27","87,066.27","87,066.27","","-0.64%"
"14/12/2022","87,628.46","87,628.46","87,628.46","87,628.46","","0.67%"
"13/12/2022","87,048.02","87,048.02","87,048.02","87,048.02","","0.31%"
"12/12/2022","86,776.84","86,776.84","86,776.84","86,776.84","","-0.45%"
"09/12/2022","87,167.78","87,167.78","87,167.78","87,167.78","","0.52%"
"08/12/2022","86,713.02","86,713.02","86,713.02","86,713.02","","-0.74%"
"07/12/2022","87,362.53","87,362.53","87,362.53","87,362.53","","-0.85%"
"06/12/2022","88,110.31","88,110.31","88,110.31","88,110.31","","-0.47%"
"05/12/2022","88,525.27","88,525.27","88,525.27","88,525.27","","0.35%"
"02/12/2022","88,219.58","88,219.58","88,219.58","88,219.58","","-0.72%"
"01/12/2022","88,859.41","88,859.41","88,859.41","88,859.41","","0.97%"
"30/11/2022","88,008.95","88,008.95","88,008.95","88,008.95","","0.43%"
"29/11/2022","87,629.01","87,629.01","87,629.01","87,629.01","","0.34%"
"28/11/2022","87,335.78","87,335.78","87,335.78","87,335.78","","-0.42%"
"25/11/2022","87,702.34","87,702.34","87,702.34","87,702.34","","0.24%"
"24/11/2022","87,488.12","87,488.12","87,488.12","87,488.12","","0.14%"
"23/11/2022","87,362.55","87,362.55","87,362.55","87,362.55","","0.70%"
"22/11/2022","86,752.84","86,752.84","86,752.84","86,752.84","","0.59%"
"21/11/2022","86,240.04","86,240.04","86,240.04","86,240.04","","-0.17%"
"18/11/2022","86,390.20","86,390.20","86,390.20","86,390.20","","0.24%"
"17/11/2022","86,186.42","86,186.42","86,186.42","86,186.42","","0.29%"
"16/11/2022","85,933.34","85,933.34","85,933.34","85,933.34","","-0.27%"
"15/11/2022","86,167.34","86,167.34","86,167.34","86,167.34","","0.05%"
"14/11/2022","86,123.38","86,123.38","86,123.38","86,123.38","","-0.16%"
"11/11/2022","86,263.25","86,263.25","86,263.25","86,263.25","","2.78%"
"10/11/2022","83,926.06","83,926.06","83,926.06","83,926.06","","-0.50%"
"09/11/2022","84,351.23","84,351.23","84,351.23","84,351.23","","0.59%"
"08/11/2022","83,859.74","83,859.74","83,859.74","83,859.74","","0.36%"
"07/11/2022","83,556.48","83,556.48","83,556.48","83,556.48","","0.76%"
"04/11/2022","82,924.29","82,924.29","82,924.29","82,924.29","","0.50%"
"03/11/2022","82,508.27","82,508.27","82,508.27","82,508.27","","-1.84%"
"02/11/2022","84,057.61","84,057.61","84,057.61","84,057.61","","0.14%"
"01/11/2022","83,939.70","83,939.70","83,939.70","83,939.70","","1.65%"
"31/10/2022","82,573.97","82,573.97","82,573.97","82,573.97","","1.15%"
"28/10/2022","81,638.70","81,638.70","81,638.70","81,638.70","","-0.87%"
"27/10/2022","82,353.50","82,353.50","82,353.50","82,353.50","","0.51%"
"26/10/2022","81,934.98","81,934.98","81,934.98","81,934.98","","0.18%"
"25/10/2022","81,787.58","81,787.58","81,787.58","81,787.58","","0.28%"
"24/10/2022","81,555.96","81,555.96","81,555.96","81,555.96","","1.54%"
"21/10/2022","80,315.40","80,315.40","80,315.40","80,315.40","","-0.80%"
"20/10/2022","80,964.70","80,964.70","80,964.70","80,964.70","","-1.02%"
"19/10/2022","81,798.59","81,798.59","81,798.59","81,798.59","","0.31%"
"18/10/2022","81,547.92","81,547.92","81,547.92","81,547.92","","1.72%"
"17/10/2022","80,167.26","80,167.26","80,167.26","80,167.26","","-1.40%"
"14/10/2022","81,302.66","81,302.66","81,302.66","81,302.66","","1.76%"
"13/10/2022","79,900.16","79,900.16","79,900.16","79,900.16","","-0.07%"
"12/10/2022","79,959.45","79,959.45","79,959.45","79,959.45","","0.04%"
"11/10/2022","79,928.11","79,928.11","79,928.11","79,928.11","","-0.34%"
"10/10/2022","80,200.66","80,200.66","80,200.66","80,200.66","","-1.41%"
"07/10/2022","81,343.55","81,343.55","81,343.55","81,343.55","","-0.80%"
"06/10/2022","82,002.11","82,002.11","82,002.11","82,002.11","","0.03%"
"05/10/2022","81,978.93","81,978.93","81,978.93","81,978.93","","1.74%"
"04/10/2022","80,578.99","80,578.99","80,578.99","80,578.99","","3.76%"
"03/10/2022","77,659.97","77,659.97","77,659.97","77,659.97","","-0.27%"
"30/09/2022","77,868.43","77,868.43","77,868.43","77,868.43","","-1.23%"
"29/09/2022","78,839.90","78,839.90","78,839.90","78,839.90","","1.45%"
"28/09/2022","77,715.02","77,715.02","77,715.02","77,715.02","","-0.53%"
"27/09/2022","78,125.52","78,125.52","78,125.52","78,125.52","","0.41%"
"26/09/2022","77,803.82","77,803.82","77,803.82","77,803.82","","-1.60%"
"23/09/2022","79,070.45","79,070.45","79,070.45","79,070.45","","-1.87%"
"21/09/2022","80,579.64","80,579.64","80,579.64","80,579.64","","-1.54%"
"20/09/2022","81,839.95","81,839.95","81,839.95","81,839.95","","1.29%"
"19/09/2022","80,799.74","80,799.74","80,799.74","80,799.74","","-0.28%"
"16/09/2022","81,027.77","81,027.77","81,027.77","81,027.77","","-1.51%"
"15/09/2022","82,272.35","82,272.35","82,272.35","82,272.35","","0.26%"
"14/09/2022","82,056.01","82,056.01","82,056.01","82,056.01","","-2.58%"
"13/09/2022","84,230.44","84,230.44","84,230.44","84,230.44","","0.65%"
"12/09/2022","83,685.30","83,685.30","83,685.30","83,685.30","","1.03%"
"09/09/2022","82,836.09","82,836.09","82,836.09","82,836.09","","0.67%"
"08/09/2022","82,284.76","82,284.76","82,284.76","82,284.76","","1.94%"
"07/09/2022","80,715.63","80,715.63","80,715.63","80,715.63","","-1.38%"
"06/09/2022","81,842.82","81,842.82","81,842.82","81,842.82","","-0.29%"
"05/09/2022","82,078.33","82,078.33","82,078.33","82,078.33","","0.47%"
"02/09/2022","81,693.12","81,693.12","81,693.12","81,693.12","","-0.20%"
"01/09/2022","81,858.16","81,858.16","81,858.16","81,858.16","","-1.37%"
"31/08/2022","82,992.41","82,992.41","82,992.41","82,992.41","","-0.06%"
