Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^AXJT,^AXJT,^AXJT,^AXJT,^AXJT,^AXJT
Date,,,,,,
2026-03-23,114239.5,114239.5,115093.3984375,112826.5,115093.3984375,0
2026-03-24,114423.0,114423.0,116133.3984375,114239.5,114239.5,0
2026-03-25,116882.6015625,116882.6015625,116882.6015625,116549.296875,116549.296875,0
2026-03-26,116432.796875,116432.796875,116882.6015625,116127.703125,116549.296875,0
2026-03-27,116303.796875,116303.796875,116432.796875,115476.0,116432.796875,0
2026-03-30,115556.796875,115556.796875,116312.1015625,114441.703125,116312.1015625,0
2026-03-31,115843.203125,115843.203125,116761.0,114870.5,115559.1015625,0
2026-04-01,118443.203125,118443.203125,118443.203125,115848.1015625,115848.1015625,0
2026-04-02,117182.703125,117182.703125,119147.0,117009.8984375,118443.203125,0
2026-04-07,119221.6015625,119221.6015625,120249.203125,117182.703125,117182.703125,0
2026-04-08,122267.796875,122267.796875,122735.796875,119221.6015625,119221.6015625,0
2026-04-09,122560.1015625,122560.1015625,122560.1015625,121627.296875,122267.796875,0
2026-04-10,122388.1015625,122388.1015625,122560.1015625,121631.0,122560.1015625,0
2026-04-13,121916.0,121916.0,122388.1015625,121418.203125,122388.1015625,0
2026-04-14,122527.5,122527.5,123220.296875,121916.0,121916.0,0
2026-04-15,122635.0,122635.0,123136.296875,122527.5,122527.5,0
2026-04-16,122311.703125,122311.703125,123161.3984375,122069.5,122635.0,0
2026-04-17,122201.296875,122201.296875,122311.703125,121592.8984375,122311.703125,0
2026-04-20,122295.796875,122295.796875,122319.0,121545.5,122209.0,0
2026-04-21,122242.6015625,122242.6015625,122606.8984375,121725.6015625,122295.796875,0
2026-04-22,120797.0,120797.0,122242.6015625,120730.203125,122242.6015625,0
2026-04-23,120112.0,120112.0,120797.0,119489.296875,120797.0,0
2026-04-24,120017.8984375,120017.8984375,120182.796875,119340.296875,120112.0,0
2026-04-27,119742.3984375,119742.3984375,120017.8984375,119240.6015625,120017.8984375,0
2026-04-28,118981.8984375,118981.8984375,119742.3984375,118746.203125,119742.3984375,0
2026-04-29,118658.296875,118658.296875,118981.8984375,118277.6015625,118981.8984375,0
2026-04-30,118369.203125,118369.203125,118658.296875,117910.6015625,118658.296875,0
2026-05-01,119243.6015625,119243.6015625,119712.1015625,118369.203125,118369.203125,0
2026-05-04,118802.5,118802.5,119362.796875,118506.0,119249.6015625,0
2026-05-05,118575.0,118575.0,118802.5,117771.6015625,118802.5,0
2026-05-06,120121.1015625,120121.1015625,120135.3984375,118575.0,118575.0,0
2026-05-07,121392.5,121392.5,121525.296875,120238.203125,120238.203125,0
2026-05-08,119681.703125,119681.703125,121510.8984375,119316.5,121510.8984375,0
2026-05-11,119211.3984375,119211.3984375,119794.3984375,118413.796875,119794.3984375,0
2026-05-12,118785.6015625,118785.6015625,119371.3984375,118079.3984375,119211.3984375,0
2026-05-13,118235.796875,118235.796875,118787.703125,117691.3984375,118787.703125,0
2026-05-14,118377.203125,118377.203125,118429.296875,117859.5,118235.796875,0
2026-05-15,118242.0,118242.0,119079.0,117959.8984375,118377.203125,0
2026-05-18,116589.6015625,116589.6015625,118309.296875,116520.1015625,118309.296875,0
2026-05-19,117953.703125,117953.703125,117995.0,116591.296875,116591.296875,0
2026-05-20,116471.5,116471.5,117953.703125,116315.0,117953.703125,0
2026-05-21,118193.3984375,118193.3984375,118576.3984375,116477.5,116477.5,0
2026-05-22,118677.1015625,118677.1015625,118916.3984375,118193.3984375,118193.3984375,0
2026-05-25,119172.3984375,119172.3984375,119460.1015625,118523.703125,118692.3984375,0
2026-05-26,118706.5,118706.5,119175.296875,118309.203125,119175.296875,0
2026-05-27,119531.796875,119531.796875,119531.796875,118272.8984375,118711.796875,0
2026-05-28,117822.3984375,117822.3984375,119532.8984375,117396.5,119532.8984375,0
2026-05-29,119724.8984375,119724.8984375,119724.8984375,117822.3984375,117822.3984375,0
2026-06-01,119694.1015625,119694.1015625,119791.6015625,119254.1015625,119724.8984375,0
2026-06-02,119625.1015625,119625.1015625,119694.1015625,118273.5,119694.1015625,0
2026-06-03,120466.296875,120466.296875,120805.296875,119625.1015625,119625.1015625,0
2026-06-04,119100.703125,119100.703125,120466.296875,118635.703125,120466.296875,0
2026-06-05,118264.203125,118264.203125,119360.703125,118106.203125,119100.703125,0
2026-06-09,117977.6015625,117977.6015625,118264.8984375,116424.703125,118264.8984375,0
2026-06-10,118651.1015625,118651.1015625,118883.6015625,117721.5,117977.6015625,0
2026-06-11,118376.703125,118376.703125,118883.203125,117308.0,118651.5,0
2026-06-12,120727.203125,120727.203125,120799.796875,118385.296875,118385.296875,0
2026-06-15,122235.1015625,122235.1015625,122557.3984375,120727.203125,120727.203125,0
2026-06-16,122285.203125,122285.203125,122285.203125,121137.8984375,122235.1015625,0
2026-06-17,122952.203125,122952.203125,123096.703125,121879.296875,122285.203125,0
2026-06-18,122195.296875,122195.296875,123192.203125,122195.296875,122952.203125,0
2026-06-19,121065.0,121065.0,122195.296875,120707.0,122195.296875,0
2026-06-22,120895.8984375,120895.8984375,121384.703125,120589.703125,121067.796875,0
2026-06-23,120496.1015625,120496.1015625,121359.203125,120370.796875,120895.8984375,0
2026-06-24,120789.796875,120789.796875,120992.8984375,120460.703125,120496.1015625,0
2026-06-25,119970.5,119970.5,120789.796875,119970.5,120789.796875,0
2026-06-26,120185.6015625,120185.6015625,120326.6015625,119417.0,119972.6015625,0
2026-06-29,121144.203125,121144.203125,121144.203125,121144.203125,121144.203125,0
2026-06-30,120530.6015625,120530.6015625,121322.3984375,120530.6015625,121144.203125,0
2026-07-01,119766.203125,119766.203125,120767.6015625,119608.6015625,120532.0,0
2026-07-02,119788.0,119788.0,119856.0,118851.0,119766.203125,0
2026-07-03,121434.5,121434.5,121563.6015625,119788.0,119788.0,0
2026-07-06,121249.8984375,121249.8984375,121604.8984375,121065.6015625,121434.5,0
2026-07-07,120878.5,120878.5,121419.796875,120644.3984375,121249.8984375,0
2026-07-08,120620.0,120620.0,120878.5,119131.1015625,120878.5,0
2026-07-09,120310.3984375,120310.3984375,120620.0,119459.1015625,120620.0,0
2026-07-10,120907.703125,120907.703125,121121.796875,120119.296875,120310.3984375,0
2026-07-13,120941.6015625,120941.6015625,121143.1015625,120409.6015625,120907.703125,0
2026-07-14,120946.0,120946.0,120946.296875,120261.5,120946.296875,0
