"Date","Price","Open","High","Low","Vol.","Change %"
"14/09/2020","65,515.41","65,515.41","65,515.41","65,515.41","","0.69%"
"11/09/2020","65,066.28","65,066.28","65,066.28","65,066.28","","-0.83%"
"10/09/2020","65,609.70","65,609.70","65,609.70","65,609.70","","0.56%"
"09/09/2020","65,246.00","65,246.00","65,246.00","65,246.00","","-2.14%"
"08/09/2020","66,671.02","66,671.02","66,671.02","66,671.02","","1.08%"
"07/09/2020","65,959.12","65,959.12","65,959.12","65,959.12","","0.37%"
"04/09/2020","65,717.30","65,717.30","65,717.30","65,717.30","","-3.06%"
"03/09/2020","67,791.65","67,791.65","67,791.65","67,791.65","","0.96%"
"02/09/2020","67,146.35","67,146.35","67,146.35","67,146.35","","1.87%"
"01/09/2020","65,914.34","65,914.34","65,914.34","65,914.34","","-1.72%"
"31/08/2020","67,065.85","67,065.85","67,065.85","67,065.85","","-0.11%"
"28/08/2020","67,139.48","67,139.48","67,139.48","67,139.48","","-0.85%"
"27/08/2020","67,716.66","67,716.66","67,716.66","67,716.66","","0.19%"
"26/08/2020","67,589.09","67,589.09","67,589.09","67,589.09","","-0.65%"
"25/08/2020","68,030.17","68,030.17","68,030.17","68,030.17","","0.59%"
"24/08/2020","67,631.98","67,631.98","67,631.98","67,631.98","","0.39%"
"21/08/2020","67,370.30","67,370.30","67,370.30","67,370.30","","-0.13%"
"20/08/2020","67,459.09","67,459.09","67,459.09","67,459.09","","-0.77%"
"19/08/2020","67,981.58","67,981.58","67,981.58","67,981.58","","0.83%"
"18/08/2020","67,423.77","67,423.77","67,423.77","67,423.77","","0.78%"
"17/08/2020","66,901.89","66,901.89","66,901.89","66,901.89","","-0.80%"
"14/08/2020","67,443.70","67,443.70","67,443.70","67,443.70","","0.58%"
"13/08/2020","67,055.59","67,055.59","67,055.59","67,055.59","","-0.66%"
"12/08/2020","67,499.81","67,499.81","67,499.81","67,499.81","","-0.11%"
"11/08/2020","67,572.48","67,572.48","67,572.48","67,572.48","","0.47%"
"10/08/2020","67,259.30","67,259.30","67,259.30","67,259.30","","1.75%"
"07/08/2020","66,099.52","66,099.52","66,099.52","66,099.52","","-0.62%"
"06/08/2020","66,509.89","66,509.89","66,509.89","66,509.89","","0.73%"
"05/08/2020","66,027.75","66,027.75","66,027.75","66,027.75","","-0.60%"
"04/08/2020","66,426.67","66,426.67","66,426.67","66,426.67","","1.88%"
"03/08/2020","65,200.34","65,200.34","65,200.34","65,200.34","","-0.03%"
"31/07/2020","65,218.91","65,218.91","65,218.91","65,218.91","","-2.04%"
"30/07/2020","66,575.48","66,575.48","66,575.48","66,575.48","","0.75%"
"29/07/2020","66,082.43","66,082.43","66,082.43","66,082.43","","-0.24%"
"28/07/2020","66,238.27","66,238.27","66,238.27","66,238.27","","-0.39%"
"27/07/2020","66,498.17","66,498.17","66,498.17","66,498.17","","0.33%"
"24/07/2020","66,276.21","66,276.21","66,276.21","66,276.21","","-1.16%"
"23/07/2020","67,051.84","67,051.84","67,051.84","67,051.84","","0.32%"
"22/07/2020","66,838.04","66,838.04","66,838.04","66,838.04","","-1.32%"
"21/07/2020","67,731.77","67,731.77","67,731.77","67,731.77","","2.58%"
"20/07/2020","66,029.41","66,029.41","66,029.41","66,029.41","","-0.53%"
"17/07/2020","66,382.14","66,382.14","66,382.14","66,382.14","","0.38%"
"16/07/2020","66,131.70","66,131.70","66,131.70","66,131.70","","-0.69%"
"15/07/2020","66,594.45","66,594.45","66,594.45","66,594.45","","1.88%"
"14/07/2020","65,363.51","65,363.51","65,363.51","65,363.51","","-0.61%"
"13/07/2020","65,764.37","65,764.37","65,764.37","65,764.37","","0.98%"
"10/07/2020","65,122.96","65,122.96","65,122.96","65,122.96","","-0.61%"
"09/07/2020","65,521.65","65,521.65","65,521.65","65,521.65","","0.59%"
"08/07/2020","65,134.89","65,134.89","65,134.89","65,134.89","","-1.54%"
"07/07/2020","66,153.92","66,153.92","66,153.92","66,153.92","","-0.02%"
"06/07/2020","66,169.77","66,169.77","66,169.77","66,169.77","","-0.71%"
"03/07/2020","66,644.94","66,644.94","66,644.94","66,644.94","","0.40%"
"02/07/2020","66,376.38","66,376.38","66,376.38","66,376.38","","1.66%"
"01/07/2020","65,294.64","65,294.64","65,294.64","65,294.64","","0.62%"
"30/06/2020","64,892.86","64,892.86","64,892.86","64,892.86","","1.42%"
"29/06/2020","63,981.27","63,981.27","63,981.27","63,981.27","","-1.38%"
"26/06/2020","64,876.08","64,876.08","64,876.08","64,876.08","","1.49%"
"25/06/2020","63,926.65","63,926.65","63,926.65","63,926.65","","-2.48%"
"24/06/2020","65,553.69","65,553.69","65,553.69","65,553.69","","0.19%"
"23/06/2020","65,429.09","65,429.09","65,429.09","65,429.09","","0.17%"
"22/06/2020","65,320.72","65,320.72","65,320.72","65,320.72","","0.03%"
"19/06/2020","65,299.13","65,299.13","65,299.13","65,299.13","","0.10%"
"18/06/2020","65,231.98","65,231.98","65,231.98","65,231.98","","-0.92%"
"17/06/2020","65,839.69","65,839.69","65,839.69","65,839.69","","0.83%"
"16/06/2020","65,296.09","65,296.09","65,296.09","65,296.09","","3.89%"
"15/06/2020","62,851.48","62,851.48","62,851.48","62,851.48","","-2.19%"
"12/06/2020","64,257.81","64,257.81","64,257.81","64,257.81","","-1.89%"
"11/06/2020","65,497.59","65,497.59","65,497.59","65,497.59","","-3.05%"
"10/06/2020","67,561.05","67,561.05","67,561.05","67,561.05","","0.06%"
"09/06/2020","67,522.84","67,522.84","67,522.84","67,522.84","","2.44%"
"05/06/2020","65,915.98","65,915.98","65,915.98","65,915.98","","0.12%"
"04/06/2020","65,839.02","65,839.02","65,839.02","65,839.02","","0.85%"
"03/06/2020","65,287.15","65,287.15","65,287.15","65,287.15","","1.83%"
"02/06/2020","64,116.86","64,116.86","64,116.86","64,116.86","","0.27%"
"01/06/2020","63,941.68","63,941.68","63,941.68","63,941.68","","1.10%"
"29/05/2020","63,244.36","63,244.36","63,244.36","63,244.36","","-1.63%"
"28/05/2020","64,292.80","64,292.80","64,292.80","64,292.80","","1.32%"
"27/05/2020","63,453.68","63,453.68","63,453.68","63,453.68","","-0.08%"
"26/05/2020","63,501.84","63,501.84","63,501.84","63,501.84","","2.93%"
"25/05/2020","61,695.00","61,695.00","61,695.00","61,695.00","","2.16%"
"22/05/2020","60,391.92","60,391.92","60,391.92","60,391.92","","-0.96%"
"21/05/2020","60,978.63","60,978.63","60,978.63","60,978.63","","-0.40%"
"20/05/2020","61,225.57","61,225.57","61,225.57","61,225.57","","0.25%"
"19/05/2020","61,073.42","61,073.42","61,073.42","61,073.42","","1.81%"
"18/05/2020","59,986.08","59,986.08","59,986.08","59,986.08","","1.07%"
"15/05/2020","59,351.02","59,351.02","59,351.02","59,351.02","","1.43%"
"14/05/2020","58,514.65","58,514.65","58,514.65","58,514.65","","-1.72%"
"13/05/2020","59,537.36","59,537.36","59,537.36","59,537.36","","0.35%"
"12/05/2020","59,329.93","59,329.93","59,329.93","59,329.93","","-1.07%"
"11/05/2020","59,968.71","59,968.71","59,968.71","59,968.71","","1.30%"
"08/05/2020","59,198.48","59,198.48","59,198.48","59,198.48","","0.50%"
"07/05/2020","58,903.37","58,903.37","58,903.37","58,903.37","","-0.38%"
"06/05/2020","59,127.41","59,127.41","59,127.41","59,127.41","","-0.42%"
"05/05/2020","59,374.05","59,374.05","59,374.05","59,374.05","","1.64%"
"04/05/2020","58,416.29","58,416.29","58,416.29","58,416.29","","1.41%"
"01/05/2020","57,604.19","57,604.19","57,604.19","57,604.19","","-4.95%"
"30/04/2020","60,602.95","60,602.95","60,602.95","60,602.95","","2.39%"
"29/04/2020","59,188.08","59,188.08","59,188.08","59,188.08","","1.51%"
"28/04/2020","58,306.54","58,306.54","58,306.54","58,306.54","","-0.16%"
"27/04/2020","58,398.09","58,398.09","58,398.09","58,398.09","","1.50%"
"24/04/2020","57,533.15","57,533.15","57,533.15","57,533.15","","0.49%"
"23/04/2020","57,253.20","57,253.20","57,253.20","57,253.20","","-0.08%"
"22/04/2020","57,298.59","57,298.59","57,298.59","57,298.59","","0.00%"
"21/04/2020","57,297.94","57,297.94","57,297.94","57,297.94","","-2.46%"
"20/04/2020","58,743.32","58,743.32","58,743.32","58,743.32","","-2.45%"
"17/04/2020","60,218.62","60,218.62","60,218.62","60,218.62","","1.32%"
"16/04/2020","59,436.65","59,436.65","59,436.65","59,436.65","","-0.92%"
"15/04/2020","59,989.57","59,989.57","59,989.57","59,989.57","","-0.39%"
"14/04/2020","60,224.84","60,224.84","60,224.84","60,224.84","","1.87%"
"09/04/2020","59,119.61","59,119.61","59,119.61","59,119.61","","3.47%"
"08/04/2020","57,138.48","57,138.48","57,138.48","57,138.48","","-0.86%"
"07/04/2020","57,636.06","57,636.06","57,636.06","57,636.06","","-0.65%"
"06/04/2020","58,014.90","58,014.90","58,014.90","58,014.90","","4.33%"
"03/04/2020","55,608.12","55,608.12","55,608.12","55,608.12","","-1.69%"
"02/04/2020","56,565.34","56,565.34","56,565.34","56,565.34","","-1.98%"
"01/04/2020","57,706.52","57,706.52","57,706.52","57,706.52","","3.58%"
"31/03/2020","55,711.41","55,711.41","55,711.41","55,711.41","","-2.02%"
"30/03/2020","56,857.95","56,857.95","56,857.95","56,857.95","","7.00%"
"27/03/2020","53,135.96","53,135.96","53,135.96","53,135.96","","-5.30%"
"26/03/2020","56,109.26","56,109.26","56,109.26","56,109.26","","2.31%"
"25/03/2020","54,844.41","54,844.41","54,844.41","54,844.41","","5.55%"
"24/03/2020","51,962.09","51,962.09","51,962.09","51,962.09","","4.19%"
"23/03/2020","49,872.57","49,872.57","49,872.57","49,872.57","","-5.62%"
"20/03/2020","52,841.15","52,841.15","52,841.15","52,841.15","","0.70%"
"19/03/2020","52,471.57","52,471.57","52,471.57","52,471.57","","-3.43%"
"18/03/2020","54,333.28","54,333.28","54,333.28","54,333.28","","-6.42%"
"17/03/2020","58,062.82","58,062.82","58,062.82","58,062.82","","5.83%"
"16/03/2020","54,866.55","54,866.55","54,866.55","54,866.55","","-9.70%"
"13/03/2020","60,758.38","60,758.38","60,758.38","60,758.38","","4.43%"
"12/03/2020","58,178.27","58,178.27","58,178.27","58,178.27","","-7.35%"
"11/03/2020","62,796.32","62,796.32","62,796.32","62,796.32","","-3.54%"
"10/03/2020","65,101.08","65,101.08","65,101.08","65,101.08","","3.12%"
"09/03/2020","63,129.28","63,129.28","63,129.28","63,129.28","","-7.32%"
"06/03/2020","68,113.22","68,113.22","68,113.22","68,113.22","","-2.79%"
"05/03/2020","70,071.65","70,071.65","70,071.65","70,071.65","","1.43%"
"04/03/2020","69,087.05","69,087.05","69,087.05","69,087.05","","-1.66%"
"03/03/2020","70,255.27","70,255.27","70,255.27","70,255.27","","0.73%"
"02/03/2020","69,747.47","69,747.47","69,747.47","69,747.47","","-0.66%"
"28/02/2020","70,210.11","70,210.11","70,210.11","70,210.11","","-3.24%"
"27/02/2020","72,558.43","72,558.43","72,558.43","72,558.43","","-0.71%"
"26/02/2020","73,079.12","73,079.12","73,079.12","73,079.12","","-2.23%"
"25/02/2020","74,747.83","74,747.83","74,747.83","74,747.83","","-1.57%"
"24/02/2020","75,936.52","75,936.52","75,936.52","75,936.52","","-2.13%"
"21/02/2020","77,590.25","77,590.25","77,590.25","77,590.25","","-0.33%"
"20/02/2020","77,845.45","77,845.45","77,845.45","77,845.45","","0.26%"
"19/02/2020","77,641.67","77,641.67","77,641.67","77,641.67","","0.64%"
"18/02/2020","77,151.24","77,151.24","77,151.24","77,151.24","","-0.13%"
"17/02/2020","77,253.61","77,253.61","77,253.61","77,253.61","","-0.07%"
"14/02/2020","77,307.76","77,307.76","77,307.76","77,307.76","","0.38%"
"13/02/2020","77,014.41","77,014.41","77,014.41","77,014.41","","0.24%"
"12/02/2020","76,826.38","76,826.38","76,826.38","76,826.38","","0.47%"
"11/02/2020","76,468.60","76,468.60","76,468.60","76,468.60","","0.61%"
"10/02/2020","76,004.98","76,004.98","76,004.98","76,004.98","","-0.14%"
"07/02/2020","76,113.90","76,113.90","76,113.90","76,113.90","","-0.38%"
"06/02/2020","76,402.42","76,402.42","76,402.42","76,402.42","","1.05%"
"05/02/2020","75,609.63","75,609.63","75,609.63","75,609.63","","0.39%"
"04/02/2020","75,313.65","75,313.65","75,313.65","75,313.65","","0.37%"
"03/02/2020","75,037.36","75,037.36","75,037.36","75,037.36","","-1.34%"
"31/01/2020","76,055.84","76,055.84","76,055.84","76,055.84","","0.13%"
"30/01/2020","75,960.54","75,960.54","75,960.54","75,960.54","","-0.33%"
"29/01/2020","76,210.84","76,210.84","76,210.84","76,210.84","","0.53%"
"28/01/2020","75,809.08","75,809.08","75,809.08","75,809.08","","-1.36%"
"24/01/2020","76,850.52","76,850.52","76,850.52","76,850.52","","0.04%"
"23/01/2020","76,822.56","76,822.56","76,822.56","76,822.56","","-0.63%"
"22/01/2020","77,307.73","77,307.73","77,307.73","77,307.73","","0.94%"
"21/01/2020","76,588.26","76,588.26","76,588.26","76,588.26","","-0.19%"
"20/01/2020","76,730.99","76,730.99","76,730.99","76,730.99","","0.22%"
"17/01/2020","76,564.24","76,564.24","76,564.24","76,564.24","","0.32%"
"16/01/2020","76,322.01","76,322.01","76,322.01","76,322.01","","0.67%"
"15/01/2020","75,813.25","75,813.25","75,813.25","75,813.25","","0.47%"
"14/01/2020","75,458.96","75,458.96","75,458.96","75,458.96","","0.85%"
"13/01/2020","74,825.10","74,825.10","74,825.10","74,825.10","","-0.37%"
"10/01/2020","75,099.93","75,099.93","75,099.93","75,099.93","","0.80%"
"09/01/2020","74,506.03","74,506.03","74,506.03","74,506.03","","0.83%"
"08/01/2020","73,892.51","73,892.51","73,892.51","73,892.51","","-0.13%"
"07/01/2020","73,988.03","73,988.03","73,988.03","73,988.03","","1.35%"
"06/01/2020","73,004.64","73,004.64","73,004.64","73,004.64","","0.03%"
"03/01/2020","72,980.63","72,980.63","72,980.63","72,980.63","","0.64%"
"02/01/2020","72,515.57","72,515.57","72,515.57","72,515.57","","0.10%"
"31/12/2019","72,445.03","72,445.03","72,445.03","72,445.03","","-1.77%"
"30/12/2019","73,754.10","73,754.10","73,754.10","73,754.10","","-0.05%"
"27/12/2019","73,791.49","73,791.49","73,791.49","73,791.49","","0.40%"
"24/12/2019","73,494.06","73,494.06","73,494.06","73,494.06","","0.13%"
"23/12/2019","73,396.53","73,396.53","73,396.53","73,396.53","","-0.46%"
"20/12/2019","73,733.81","73,733.81","73,733.81","73,733.81","","-0.25%"
"19/12/2019","73,915.46","73,915.46","73,915.46","73,915.46","","-0.27%"
"18/12/2019","74,113.49","74,113.49","74,113.49","74,113.49","","0.06%"
"17/12/2019","74,068.74","74,068.74","74,068.74","74,068.74","","-0.03%"
"16/12/2019","74,092.80","74,092.80","74,092.80","74,092.80","","1.63%"
"13/12/2019","72,902.57","72,902.57","72,902.57","72,902.57","","0.46%"
"12/12/2019","72,568.90","72,568.90","72,568.90","72,568.90","","-0.65%"
"11/12/2019","73,042.75","73,042.75","73,042.75","73,042.75","","0.68%"
"10/12/2019","72,548.07","72,548.07","72,548.07","72,548.07","","-0.34%"
"09/12/2019","72,798.16","72,798.16","72,798.16","72,798.16","","0.34%"
"06/12/2019","72,549.27","72,549.27","72,549.27","72,549.27","","0.36%"
"05/12/2019","72,288.20","72,288.20","72,288.20","72,288.20","","1.16%"
"04/12/2019","71,458.47","71,458.47","71,458.47","71,458.47","","-1.58%"
"03/12/2019","72,602.65","72,602.65","72,602.65","72,602.65","","-2.19%"
"02/12/2019","74,224.81","74,224.81","74,224.81","74,224.81","","0.24%"
"29/11/2019","74,048.83","74,048.83","74,048.83","74,048.83","","-0.26%"
"28/11/2019","74,240.93","74,240.93","74,240.93","74,240.93","","0.21%"
"27/11/2019","74,086.40","74,086.40","74,086.40","74,086.40","","0.94%"
"26/11/2019","73,395.04","73,395.04","73,395.04","73,395.04","","0.83%"
"25/11/2019","72,788.19","72,788.19","72,788.19","72,788.19","","0.32%"
"22/11/2019","72,554.29","72,554.29","72,554.29","72,554.29","","0.55%"
"21/11/2019","72,155.65","72,155.65","72,155.65","72,155.65","","-0.74%"
"20/11/2019","72,691.02","72,691.02","72,691.02","72,691.02","","-1.35%"
"19/11/2019","73,683.64","73,683.64","73,683.64","73,683.64","","0.70%"
"18/11/2019","73,171.12","73,171.12","73,171.12","73,171.12","","-0.39%"
"15/11/2019","73,457.85","73,457.85","73,457.85","73,457.85","","0.88%"
"14/11/2019","72,819.28","72,819.28","72,819.28","72,819.28","","0.68%"
"13/11/2019","72,325.01","72,325.01","72,325.01","72,325.01","","-0.81%"
"12/11/2019","72,914.69","72,914.69","72,914.69","72,914.69","","-0.13%"
"11/11/2019","73,009.37","73,009.37","73,009.37","73,009.37","","0.89%"
"08/11/2019","72,362.94","72,362.94","72,362.94","72,362.94","","-0.03%"
"07/11/2019","72,387.10","72,387.10","72,387.10","72,387.10","","1.00%"
"06/11/2019","71,671.73","71,671.73","71,671.73","71,671.73","","-0.54%"
