Date,Market_Level
2015-07-29,50073.91
2015-07-30,50477.82
2015-07-31,50741.72
2015-08-03,50565.26
2015-08-04,50730.47
2015-08-05,50517.46
2015-08-06,49948.76
2015-08-07,48743.93
2015-08-10,49050.0
2015-08-11,48747.22
2015-08-12,47956.91
2015-08-13,48040.96
2015-08-14,47761.6
2015-08-17,47864.34
2015-08-18,47434.89
2015-08-19,48125.37
2015-08-20,47305.95
2015-08-21,46646.44
2015-08-24,44738.22
2015-08-25,46082.79
2015-08-26,46448.2
2015-08-27,47000.34
2015-08-28,47284.37
2015-08-31,46787.73
2015-09-01,45814.69
2015-09-02,45880.01
2015-09-03,45226.21
2015-09-04,45352.7
2015-09-07,45301.65
2015-09-08,46073.12
2015-09-09,47175.46
2015-09-10,46039.93
2015-09-11,45824.41
2015-09-14,46056.8
2015-09-15,45352.21
2015-09-16,46086.5
2015-09-17,46520.58
2015-09-18,46736.59
2015-09-21,45794.87
2015-09-22,46134.7
2015-09-23,45187.24
2015-09-24,45852.05
2015-09-25,45585.46
2015-09-28,46234.36
2015-09-29,44471.39
2015-09-30,45404.89
2015-10-01,46223.29
2015-10-02,45682.57
2015-10-05,46573.41
2015-10-06,46725.93
2015-10-07,47003.01
2015-10-08,47116.28
2015-10-09,47743.48
2015-10-12,47320.07
2015-10-13,47048.67
2015-10-14,46998.38
2015-10-15,47294.94
2015-10-16,47640.05
2015-10-19,47653.96
2015-10-20,47345.27
2015-10-21,47460.4
2015-10-22,47600.91
2015-10-23,48394.17
2015-10-26,48361.88
2015-10-27,48345.23
2015-10-28,48246.4
2015-10-29,47635.32
2015-10-30,47387.35
2015-11-02,46720.88
2015-11-03,47385.33
2015-11-04,47413.16
2015-11-05,47057.83
2015-11-06,47353.08
2015-11-09,46504.5
2015-11-10,46320.45
2015-11-11,46642.44
2015-11-12,46672.45
2015-11-13,45994.66
2015-11-16,45562.72
2015-11-17,46605.74
2015-11-18,46741.15
2015-11-19,47742.15
2015-11-20,47868.34
2015-11-23,48053.02
2015-11-24,47598.9
2015-11-25,47308.25
2015-11-26,47463.24
2015-11-27,47389.5
2015-11-30,47063.16
2015-12-01,47970.63
2015-12-02,47900.96
2015-12-03,47623.3
2015-12-04,46929.96
2015-12-07,46967.21
2015-12-08,46538.22
2015-12-09,46281.93
2015-12-10,45892.62
2015-12-11,45817.31
2015-12-14,44898.57
2015-12-15,44725.08
2015-12-16,45808.94
2015-12-17,46479.08
2015-12-18,46521.45
2015-12-21,46545.17
2015-12-22,46614.79
2015-12-23,46843.35
2015-12-24,47443.45
2015-12-29,48086.08
2015-12-30,48566.25
2015-12-31,48346.39
2016-01-04,48114.66
2016-01-05,47329.74
2016-01-06,46770.12
2016-01-07,45740.4
2016-01-08,45562.38
2016-01-11,45027.39
2016-01-12,44962.53
2016-01-13,45531.35
2016-01-14,44818.75
2016-01-15,44668.18
2016-01-18,44356.88
2016-01-19,44761.92
2016-01-20,44200.07
2016-01-21,44405.28
2016-01-22,44879.55
2016-01-25,45706.76
2016-01-27,45157.88
2016-01-28,45429.8
2016-01-29,45697.84
2016-02-01,46045.36
2016-02-02,45586.45
2016-02-03,44522.27
2016-02-04,45468.1
2016-02-05,45429.91
2016-02-08,45422.76
2016-02-09,44118.95
2016-02-10,43604.03
2016-02-11,44051.32
2016-02-12,43542.09
2016-02-15,44255.84
2016-02-16,44987.21
2016-02-17,44735.54
2016-02-18,45758.95
2016-02-19,45401.12
2016-02-22,45865.89
2016-02-23,45699.97
2016-02-24,44767.05
2016-02-25,44824.71
2016-02-26,44827.79
2016-02-29,44893.36
2016-03-01,45368.46
2016-03-02,46317.15
2016-03-03,46875.01
2016-03-04,46964.6
2016-03-07,47451.67
2016-03-08,47139.45
2016-03-09,47609.14
2016-03-10,47596.75
2016-03-11,47748.35
2016-03-14,47924.56
2016-03-15,47242.88
2016-03-16,47316.29
2016-03-17,47777.57
2016-03-18,47918.39
2016-03-21,47765.59
2016-03-22,47771.75
2016-03-23,47564.96
2016-03-24,47028.51
2016-03-29,46291.38
2016-03-30,46345.54
2016-03-31,47018.56
2016-04-01,46247.06
2016-04-04,46209.44
2016-04-05,45556.6
2016-04-06,45756.89
2016-04-07,45928.82
2016-04-08,45683.98
2016-04-11,45628.12
2016-04-12,46036.28
2016-04-13,46767.3
2016-04-14,47359.14
2016-04-15,47718.72
2016-04-18,47530.46
2016-04-19,48009.35
2016-04-20,48260.46
2016-04-21,48786.38
2016-04-22,48450.07
2016-04-26,48304.61
2016-04-27,47999.84
2016-04-28,48353.92
2016-04-29,48601.81
2016-05-02,48516.23
2016-05-03,49542.18
2016-05-04,48776.88
2016-05-05,48853.45
2016-05-06,48973.66
2016-05-09,49321.29
2016-05-10,49526.05
2016-05-11,49799.57
2016-05-12,49790.13
2016-05-13,49508.5
2016-05-16,49786.81
2016-05-17,50251.43
2016-05-18,49882.46
2016-05-19,49579.38
2016-05-20,49839.82
2016-05-23,49542.41
2016-05-24,49324.71
2016-05-25,50041.35
2016-05-26,50187.51
2016-05-27,50353.53
2016-05-30,50373.13
2016-05-31,50101.44
2016-06-01,49589.98
2016-06-02,49177.45
